"Index","SPFB.SI.Open","SPFB.SI.High","SPFB.SI.Low","SPFB.SI.Close","SPFB.SI.Volume"
2016-04-05 14:30:00,70286,70337,70181,70312,67060
2016-04-05 14:45:00,70308,70433,70290,70357,58414
2016-04-05 15:00:00,70358,70403,70320,70372,50644
2016-04-05 15:15:00,70373,70430,70335,70392,37776
2016-04-05 15:30:00,70392,70613,70392,70606,125929
2016-04-05 15:45:00,70605,70732,70569,70714,100092
2016-04-05 16:00:00,70713,70768,70470,70598,170417
2016-04-05 16:15:00,70600,70646,70510,70546,68007
2016-04-05 16:30:00,70548,70713,70540,70652,93326
2016-04-05 16:45:00,70654,70838,70641,70727,129012
2016-04-05 17:00:00,70731,70858,70718,70761,103225
2016-04-05 17:15:00,70766,70768,70480,70529,173203
2016-04-05 17:30:00,70527,70670,70522,70664,76674
2016-04-05 17:45:00,70665,70673,70464,70648,97459
2016-04-05 18:00:00,70648,70707,70527,70625,61974
2016-04-05 18:15:00,70622,70675,70550,70640,43521
2016-04-05 18:30:00,70639,70642,70375,70430,89516
2016-04-05 19:00:00,70500,70640,70500,70571,36702
2016-04-05 19:15:00,70568,70762,70565,70746,49371
2016-04-05 19:30:00,70750,70800,70711,70721,27847
2016-04-05 19:45:00,70724,70799,70680,70766,22869
2016-04-05 20:00:00,70766,70847,70762,70778,26379
2016-04-05 20:15:00,70778,70792,70542,70567,41393
2016-04-05 20:30:00,70571,70636,70436,70487,52254
2016-04-05 20:45:00,70484,70524,70349,70403,41429
2016-04-05 21:00:00,70401,70507,70374,70452,39878
2016-04-05 21:15:00,70453,70480,70286,70363,41741
2016-04-05 21:30:00,70367,70368,70153,70175,60981
2016-04-05 21:45:00,70176,70176,70080,70107,40709
2016-04-05 22:00:00,70107,70109,70009,70068,53117
2016-04-05 22:15:00,70068,70220,70063,70146,29224
2016-04-05 22:30:00,70146,70217,70140,70187,13745
2016-04-05 22:45:00,70185,70310,70169,70259,20870
2016-04-05 23:00:00,70259,70271,70195,70229,16089
2016-04-05 23:15:00,70229,70234,70085,70105,18858
2016-04-05 23:30:00,70107,70130,69882,69900,60387
2016-04-05 23:45:00,69900,69916,69871,69897,16487
2016-04-06 10:00:00,69870,69981,69625,69865,172375
2016-04-06 10:15:00,69863,69938,69785,69822,83954
2016-04-06 10:30:00,69822,69850,69670,69742,94313
2016-04-06 10:45:00,69740,69816,69638,69776,105632
2016-04-06 11:00:00,69777,69931,69713,69925,99183
2016-04-06 11:15:00,69929,70094,69924,69951,138823
2016-04-06 11:30:00,69949,70064,69941,70025,78937
2016-04-06 11:45:00,70028,70034,69881,69911,55074
2016-04-06 12:00:00,69909,69973,69830,69874,80640
2016-04-06 12:15:00,69874,69998,69852,69967,52261
2016-04-06 12:30:00,69967,70024,69933,69990,36237
2016-04-06 12:45:00,69990,70021,69912,70020,31343
2016-04-06 13:00:00,70020,70102,69975,70030,63922
2016-04-06 13:15:00,70033,70058,69918,69980,37025
2016-04-06 13:30:00,69975,69991,69929,69976,18604
2016-04-06 13:45:00,69976,70010,69884,69906,30756
2016-04-06 14:00:00,69912,69994,69861,69942,85232
2016-04-06 14:15:00,69941,70046,69919,70007,48421
2016-04-06 14:30:00,70008,70055,69930,69999,37213
2016-04-06 14:45:00,70001,70006,69895,69960,33658
2016-04-06 15:00:00,69960,69985,69930,69960,24282
2016-04-06 15:15:00,69960,70034,69934,70007,38078
2016-04-06 15:30:00,70006,70144,70004,70110,109930
2016-04-06 15:45:00,70109,70213,70101,70134,82381
2016-04-06 16:00:00,70134,70174,70031,70080,66553
2016-04-06 16:15:00,70082,70136,69934,69943,69934
2016-04-06 16:30:00,69943,70048,69837,70012,119168
2016-04-06 16:45:00,70012,70099,70003,70026,71117
2016-04-06 17:00:00,70022,70090,69967,70042,49148
2016-04-06 17:15:00,70041,70122,70005,70044,51700
2016-04-06 17:30:00,70047,70131,69654,69676,378983
2016-04-06 17:45:00,69676,69784,69583,69585,190056
2016-04-06 18:00:00,69585,69629,69450,69543,173901
2016-04-06 18:15:00,69541,69571,69453,69470,84999
2016-04-06 18:30:00,69471,69507,69132,69193,170392
2016-04-06 19:00:00,69203,69342,69126,69317,55950
2016-04-06 19:15:00,69314,69347,69255,69259,32473
2016-04-06 19:30:00,69259,69300,69222,69251,20536
2016-04-06 19:45:00,69251,69312,69174,69280,31422
2016-04-06 20:00:00,69279,69300,69209,69249,20607
2016-04-06 20:15:00,69248,69365,69205,69361,20318
2016-04-06 20:30:00,69359,69362,69283,69309,15053
2016-04-06 20:45:00,69309,69327,69194,69267,22848
2016-04-06 21:00:00,69267,69457,69190,69408,71137
2016-04-06 21:15:00,69411,69418,69115,69164,81578
2016-04-06 21:30:00,69160,69242,69156,69208,19993
2016-04-06 21:45:00,69211,69267,69182,69215,16972
2016-04-06 22:00:00,69219,69267,69172,69234,13184
2016-04-06 22:15:00,69235,69253,69201,69211,6713
2016-04-06 22:30:00,69208,69219,69173,69185,17292
2016-04-06 22:45:00,69185,69197,68877,68904,85749
2016-04-06 23:00:00,68900,68901,68809,68860,70806
2016-04-06 23:15:00,68857,68867,68852,68861,13498
2016-04-06 23:30:00,68859,68870,68851,68870,25912
2016-04-06 23:45:00,68869,68870,68850,68852,20125
2016-04-07 10:00:00,68850,69179,68742,69168,301343
2016-04-07 10:15:00,69168,69213,69021,69085,275061
2016-04-07 10:30:00,69085,69255,69025,69154,110876
2016-04-07 10:45:00,69152,69167,69027,69070,85545
2016-04-07 11:00:00,69067,69122,69008,69055,54768
2016-04-07 11:15:00,69056,69068,68876,68947,97026
2016-04-07 11:30:00,68946,69030,68930,68997,47572
2016-04-07 11:45:00,68997,69039,68915,68974,46097
2016-04-07 12:00:00,68971,69045,68950,68968,67470
2016-04-07 12:15:00,68969,69107,68945,69097,76183
2016-04-07 12:30:00,69095,69206,69066,69160,73017
2016-04-07 12:45:00,69163,69190,69117,69152,57836
2016-04-07 13:00:00,69155,69311,69136,69270,90824
2016-04-07 13:15:00,69274,69293,69081,69115,43145
2016-04-07 13:30:00,69119,69174,69105,69127,25943
2016-04-07 13:45:00,69127,69171,69081,69151,28393
2016-04-07 14:00:00,69144,69167,69050,69136,54543
2016-04-07 14:15:00,69137,69149,69100,69120,31501
2016-04-07 14:30:00,69124,69250,69120,69229,50401
2016-04-07 14:45:00,69234,69380,69222,69338,58897
2016-04-07 15:00:00,69337,69409,69320,69397,71307
2016-04-07 15:15:00,69397,69414,69252,69364,68213
2016-04-07 15:30:00,69366,69370,69223,69307,65499
2016-04-07 15:45:00,69301,69372,69211,69249,72297
2016-04-07 16:00:00,69248,69349,69239,69320,80444
2016-04-07 16:15:00,69318,69435,69317,69357,95785
2016-04-07 16:30:00,69360,69443,69132,69190,125374
2016-04-07 16:45:00,69190,69272,69170,69256,75127
2016-04-07 17:00:00,69256,69320,69221,69292,89910
2016-04-07 17:15:00,69290,69495,69287,69492,121906
2016-04-07 17:30:00,69493,69530,69381,69503,108424
2016-04-07 17:45:00,69505,69581,69431,69559,110993
2016-04-07 18:00:00,69560,69725,69523,69523,116291
2016-04-07 18:15:00,69523,69647,69478,69601,76937
2016-04-07 18:30:00,69602,69617,69405,69417,71142
2016-04-07 19:00:00,69425,69508,69364,69402,42558
2016-04-07 19:15:00,69396,69571,69390,69519,32277
2016-04-07 19:30:00,69519,69633,69489,69623,27571
2016-04-07 19:45:00,69626,69638,69461,69524,21416
2016-04-07 20:00:00,69524,69633,69390,69396,44753
2016-04-07 20:15:00,69394,69511,69375,69480,30179
2016-04-07 20:30:00,69477,69485,69299,69364,42640
2016-04-07 20:45:00,69362,69421,69303,69356,23695
2016-04-07 21:00:00,69354,69483,69354,69440,22067
2016-04-07 21:15:00,69437,69562,69417,69450,46114
2016-04-07 21:30:00,69454,69481,69371,69393,26942
2016-04-07 21:45:00,69390,69494,69356,69452,21470
2016-04-07 22:00:00,69456,69480,69340,69341,21459
2016-04-07 22:15:00,69342,69388,69318,69337,17490
