"Index","SPFB.RTS.Open","SPFB.RTS.High","SPFB.RTS.Low","SPFB.RTS.Close","SPFB.RTS.Volume"
2016-01-05 16:45:00,75230,75350,75110,75240,7508
2016-01-05 17:00:00,75240,75310,74870,74980,14083
2016-01-05 17:15:00,74990,75060,74650,74870,12527
2016-01-05 17:30:00,74870,75220,74850,75110,13409
2016-01-05 17:45:00,75110,75180,74780,74880,10939
2016-01-05 18:00:00,74870,75080,74760,75040,10278
2016-01-05 18:15:00,75050,75170,74960,75070,8047
2016-01-05 18:30:00,75070,75400,75020,75320,13310
2016-01-05 19:00:00,75350,75670,75350,75380,9206
2016-01-05 19:15:00,75370,75470,75220,75360,7190
2016-01-05 19:30:00,75350,75490,75350,75440,3525
2016-01-05 19:45:00,75430,75530,75390,75470,2395
2016-01-05 20:00:00,75470,75500,75300,75310,2774
2016-01-05 20:15:00,75310,75350,75260,75320,1838
2016-01-05 20:30:00,75330,75450,75300,75410,2005
2016-01-05 20:45:00,75400,75440,75330,75380,1459
2016-01-05 21:00:00,75390,75440,75280,75310,2266
2016-01-05 21:15:00,75310,75340,75270,75320,1239
2016-01-05 21:30:00,75320,75500,75320,75470,2992
2016-01-05 21:45:00,75470,75730,75430,75650,6194
2016-01-05 22:00:00,75660,75680,75470,75490,3090
2016-01-05 22:15:00,75490,75680,75470,75560,2660
2016-01-05 22:30:00,75570,75570,75510,75520,929
2016-01-05 22:45:00,75530,75580,75480,75580,1099
2016-01-05 23:00:00,75560,75590,75450,75500,1388
2016-01-05 23:15:00,75500,75580,75420,75580,2068
2016-01-05 23:30:00,75580,75630,75540,75570,2305
2016-01-05 23:45:00,75580,75600,75500,75600,1609
2016-01-06 10:00:00,75510,75510,74980,75310,12782
2016-01-06 10:15:00,75310,75350,75030,75090,8904
2016-01-06 10:30:00,75100,75120,74760,74780,12097
2016-01-06 10:45:00,74780,74930,74760,74880,5221
2016-01-06 11:00:00,74870,74880,74300,74320,20484
2016-01-06 11:15:00,74320,74550,74300,74510,9140
2016-01-06 11:30:00,74520,74590,74410,74440,7403
2016-01-06 11:45:00,74440,74720,74420,74650,7732
2016-01-06 12:00:00,74660,74680,74460,74620,6814
2016-01-06 12:15:00,74620,74730,74560,74630,5241
2016-01-06 12:30:00,74620,74680,74530,74620,3576
2016-01-06 12:45:00,74610,74610,74370,74430,7876
2016-01-06 13:00:00,74450,74450,74190,74280,12461
2016-01-06 13:15:00,74290,74430,73860,73900,14551
2016-01-06 13:30:00,73900,74040,73760,73970,10170
2016-01-06 13:45:00,73960,73990,73830,73890,6305
2016-01-06 14:00:00,73890,73950,73830,73840,3082
2016-01-06 14:15:00,73860,74090,73770,74040,7016
2016-01-06 14:30:00,74050,74090,73810,73940,4313
2016-01-06 14:45:00,73930,73970,73840,73900,3949
2016-01-06 15:00:00,73900,73970,73730,73930,5429
2016-01-06 15:15:00,73930,74040,73810,73810,4453
2016-01-06 15:30:00,73820,73940,73740,73820,6008
2016-01-06 15:45:00,73820,73910,73630,73670,9096
2016-01-06 16:00:00,73670,73920,73650,73820,7076
2016-01-06 16:15:00,73830,73930,73800,73910,4708
2016-01-06 16:30:00,73890,74060,73840,73930,5745
2016-01-06 16:45:00,73940,73960,73800,73910,3023
2016-01-06 17:00:00,73910,73910,73350,73480,16824
2016-01-06 17:15:00,73480,73560,73400,73560,5372
2016-01-06 17:30:00,73560,73900,73490,73870,11137
2016-01-06 17:45:00,73870,74160,73770,74030,12308
2016-01-06 18:00:00,74030,74070,73850,74020,7456
2016-01-06 18:15:00,74040,74460,74000,74260,19280
2016-01-06 18:30:00,74280,74300,73520,73570,33118
2016-01-06 19:00:00,73610,73900,73480,73840,9170
2016-01-06 19:15:00,73850,74100,73770,73920,7680
