<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20160309,143400,72265.0000000,72274.0000000,72255.0000000,72255.0000000,1479
SPFB.Si,1,20160309,143500,72258.0000000,72285.0000000,72235.0000000,72244.0000000,5570
SPFB.Si,1,20160309,143600,72244.0000000,72277.0000000,72238.0000000,72268.0000000,2943
SPFB.Si,1,20160309,143700,72271.0000000,72272.0000000,72237.0000000,72241.0000000,2367
SPFB.Si,1,20160309,143800,72242.0000000,72245.0000000,72216.0000000,72227.0000000,2158
SPFB.Si,1,20160309,143900,72226.0000000,72228.0000000,72196.0000000,72204.0000000,4549
SPFB.Si,1,20160309,144000,72205.0000000,72221.0000000,72158.0000000,72175.0000000,14871
SPFB.Si,1,20160309,144100,72171.0000000,72186.0000000,72132.0000000,72153.0000000,7964
SPFB.Si,1,20160309,144200,72154.0000000,72162.0000000,72069.0000000,72089.0000000,15371
SPFB.Si,1,20160309,144300,72087.0000000,72123.0000000,72084.0000000,72112.0000000,4650
SPFB.Si,1,20160309,144400,72111.0000000,72157.0000000,72105.0000000,72145.0000000,5683
SPFB.Si,1,20160309,144500,72146.0000000,72180.0000000,72144.0000000,72169.0000000,3577
SPFB.Si,1,20160309,144600,72168.0000000,72189.0000000,72164.0000000,72181.0000000,5922
SPFB.Si,1,20160309,144700,72183.0000000,72189.0000000,72152.0000000,72154.0000000,2369
SPFB.Si,1,20160309,144800,72152.0000000,72158.0000000,72125.0000000,72127.0000000,2831
SPFB.Si,1,20160309,144900,72128.0000000,72130.0000000,72090.0000000,72101.0000000,3344
SPFB.Si,1,20160309,145000,72100.0000000,72139.0000000,72083.0000000,72120.0000000,5211
